VIN,ECU,ECU_VAL
WDDNUJT3GV3YLSOL5,HW95YMQ5,T1PTX1DK
WDDY2URA2EYOWT4KA,XAFPCX25,A1QS6TUV
WDDH1PN5H0499KGXF,SVNNDNPF,D0GSUFH1
WDDLSHZVB75YBV9EZ,AQHCZ22R,637P8C8Q
WDDOS7UPWYBWZPFXN,I7YIFLCY,OAZAHKHV
SJK6U5ARL6I1QU31S,D480TGT4,01FPCWT0
WDDAVGLJJCM2OECEI,L99G5RM1,5Z5HSBAA
SJKK2K36AL1ZDN5FQ,EUCKETM0,3YRY96RB
SJK7DPR3M3ZXAWZKT,3GPDIVBM,ZK1ACEOR
WDDMRQ84C216E44P8,Q25TNU1S,4F8JXD0L
SJKS4LY9DHQ7H1CGD,OM8RJNOT,QIV3IJCU
WDDF6SDIJ1M7D61G8,WDDVIMZ8,VADFNIDT
SJK6ISVASHI8HPE68,98PV9VF6,KCVWKGX3
SJK4RNTAFA55AZ0FY,SHV0KCMH,A6AXQQSJ
SJK551YC56PRIR6A0,5ZAZ9BN1,L8AQ9VKM
WDD7H2XW38NN49QY1,UTCTJMKI,U0A89A0K
WDDMI2K6TU2NFKC3Z,6QYID9KP,RMCKK7OZ
SJKQMWHKKA2LWC828,XGVFVLOT,2SK12OMZ
SJKVS1I3EMMLGCU1V,BIBI8T34,120X654S
SJK6JW6N5UVZCD49V,QS3O4PHY,8YTFGAKM
SJKH3DT8GEOO8E4LW,LDPK5HUQ,BVGK4FVH
SJKBJU0B1DDYQ0RJ1,QAM1C6ZK,TDU6J38L
WDDOWORXEFVG4Q6XU,I1OVMOZJ,QIXIU7FP
SJK5TWU6HV3JIYW68,PZHLGDSO,F5EAO7A5
WDDX6PB7INWX4JRE1,ZL10T8HL,K7I2JI1C
SJK3ICWDJN7L8BDDM,TOUM6WCG,CO23CPYK
SJKT4JTUNAM4ZQ0C8,VL9QZF92,929VZG2P
WDDHPUXNWF5GLRVUX,72M5Q26Y,JEEIJ0PZ
SJKGT1NWLF97X0ET7,8NSF7B1L,HWEQNRIO
WDDUNRWD65NHB7XFN,CWRO2J1V,X4TZHU91
WDDOLWAEKSP45T9AM,GKRFCL6S,GVL882WN
SJKNB5FR0E9ZHY8T4,708NOEY2,S4DPCBL0
SJK6N2WTCGYTKKRN7,L7RJU71F,67FQ9UQD
WDDN6P1QLNWKX7LZZ,BTM7LDCF,FBY11ODS
SJKNDXA2LEGHIVNVO,FUQJ2PVJ,5U42AACC
SJKJHG92H3K3YI70Q,YNUXLDUE,AW6LOWPF
WDDNELAG19RXSNRTH,NJQMFH8F,KRX8RRR5
WDD2LT71SHDIC1FZT,TAF4LRG5,YEHPPEA6
SJKFZP4R1L204JXRI,04PBY505,LE97PYP8
WDDY98G6YDVHVVEWT,PH8XCVXP,YZPQ90P6
SJK3APJWTZ43VEKKR,UTP1SUC1,ZDBH4Y3A
WDDV1ECO4B01DMXB9,WGI0CG9M,OPJ4G9NF
WDDCMS1XJ5FZN9MXA,G1MO4PJC,5V2W8GYG
WDDOFCID1R3T32YHZ,M35XBR22,LNG84OJ7
WDDJPUHJ0JDCY2YUF,ZJ0JWDUV,UOYZXJNQ
SJK1NM65GWH7JY8EJ,FMSL9Q4Y,O9DNLFX3
SJKWQ1MFJ5T9X5EEP,QUN7JDPG,1L5XETDQ
SJKIYD7EVP8KV43FM,VQE1I719,C8AO92I3
WDDYANS1SA1AADC3C,4EO6JE6B,3XKKX58Z
SJK2U14HTIHCAO8D3,LWQF8ZUZ,CZIU4U2M
WDDCGIPY45RZ5A0LY,7X63AZXV,XP79TC2N
SJKLMFXX9R5VUZ3BY,FK8GXMK5,2W8VDQQK
SJK5AKXUWCFVO7VU5,A43ZLJ3W,3KLIG38V
SJKSWAHWSMC6T5EYZ,VIJWVPXW,YCT4WEAF
WDD9JFU14OKCTIX5B,YN0CNTI3,1ZQEZ2P2
WDDLK3NW7IZ707NL2,N7PLPC40,84NGIVXX
SJKTNPHCI32CMYD6R,VZMSN73L,UQC8489H
SJKBA475FKAT0SR40,2MTFN7OV,SWPXYLG5
SJKY13R9Q4W0F7V5M,3QX1AKO7,0B14TSBH
WDDRK6XGET8VLNI6Y,42NQSZV5,0T6MTUIT
SJKBGSJV9KC2NF1E6,AUJNYQAZ,K53G0JGO
SJK7W8DSN16KPO2SS,3NNYN5Z8,T08NY0U3
SJKPIH03ULCB756Z9,G5CL85H1,2R6U8KMM
SJK2J5HNUK5N181LO,LJ7P67NB,UB7FC4QO
WDDWUY7IJ3L9FJPVJ,2TSXOGKZ,LWOSU5P1
SJK04E617N18KZV10,YO7SVZPN,93NGT3UB
SJKQ4Z7O0S5DQ50KP,L38UOVU8,P28GR2UC
WDD1BSFFLA5TS601S,NEHL5WMC,SFE6X5DJ
WDD4GF3SXZEDF1Z82,06L77YCJ,4DZ3FDX4
WDD56H0WR47Z5KJJQ,8NP66U3C,A68884YC
WDDHULAZU0GX29EZ5,FX9ONK6A,B1293B9F
SJKOI9V3KWZFZB3ZX,P4Y33SAF,VJ992QEX
WDDVJU3NX42KMF73X,7ISDOH0O,3GL5DSFX
WDDLTMQP3XDIMJACM,PQH3ITE6,FRQ4VQN1
SJKEB7TQGOTGEFQ3A,81NPX2I6,2U1EYEQY
WDDVM3AAIVZG0U1N1,8UZ9VZVY,QHXXZXA0
WDDQ4X3TK1TSND4AF,VJOLI53W,ERQC72ID
WDD1CGPGPUUFY0B9F,D2E8ERB5,9BAPIMJB
SJKI54PWVOFU8V1U7,9NMFFVL5,HBJLTFXA
WDD7436CLCFQ6RECC,H4Q6C8W6,A2F7MMLD
SJK9973OXJBG517VO,RTZEH0EX,SFQ8WNIW
SJKB3MIZOGB90PZ40,1HYBMDGJ,JTNTVLE1
WDDXEZFNQ6KRI1BUW,M8LQP6GV,IQ97BPAA
SJKNXCRSGTIUAQAZL,66667PH5,PGQKQQB4
SJKLEWPRT2VDOOK8Q,XX0HQZ2K,PNV9H40V
SJKJBPZA6NGIQ63SZ,GDW6C85J,UPILNWLD
WDD3HYMAXOKX5CMNM,DAGBJ040,DCGWPUJN
SJK98UA61XE33HTI0,HJVX6EL9,16P8YUKL
SJK0EJ6Y800KWJV94,2DJ5M4BZ,DL70CTGZ
WDDXNO85YT1S6QUPV,F08A2E8L,CNJDYZ7W
SJKKJ3W0MAAWLP9H4,0RN31MHL,9S6SOGQN
SJKDAXS2YFCO9DAZE,MSBWGRJD,86EIRE9L
WDDKX2J555OFY9JCS,P1M5R2I5,WFU6GYEK
SJKBYR3Z8O1LUJUXR,3L10O6EE,8S84TP6Y
SJK1K7V3DG2IXE3I2,UY9L62HK,6LVZKMVR
SJK83RDA1G0E4PEQ2,6SJO1QAB,1XCX8AH2
SJKGCRWGUBAMFUW4Y,SSPWJZEO,F8PKZLOJ
SJKZBRKD3966V81G0,G7D551I8,TLNF0X2R
WDDEQ0JG775CWZU84,L6UI9NQL,CF7A0S56
SJKIU31W9YRBKU20G,79QFYKC8,I7XC0VB6
WDD1Q4JC4FW7GDWSE,ZBJS420S,MCI7D8VT
WDDOJ7TSV5TC1PIXC,DRCL1NV7,8RRJ53KJ
WDDLUR4GTU4LTOA6N,JNNLS0NC,8XSSN2QL
SJKRSHUCU8I7TUB55,C9R2RNT0,IKH1RW81
SJK858H3M51GQHID2,37N1MVEQ,LSNWP0JQ
WDDHAIC37JHL6F4O1,XRLXQ8CM,D0EA5962
WDDYS035EYOEZ3BCY,5H1GQ7LJ,6W1NENNP
WDDFNQMUKEJV4DO2U,6PLPRC88,54YLZ681
WDD1V9EYHFRVIJKL4,ILDSLLTL,OB6VFID6
SJKUOLUBMVUU3S4B9,CG1Q2I9C,PLZ7P6BJ
SJK1YMXXTG271ZASG,0JCEN6K3,F2NN1AHT
SJKV67ELBYXQL2FDB,CJJMB74N,JNZORW98
WDD0F6WSOHXVJVARA,BFFTVYCN,TKMBX38T
SJKGJEP1PMUYAHEUP,XEAUNFRZ,WNOG6FFJ
SJK8SAEE4E3OEZDS2,W08WN3W8,2H0A08YS
SJKYJGUTTRIQ5SD2F,19W0W9LV,8G4EZH5V
SJK4SM3OA7NDI5KO7,BWG6ID9B,FLKQZJH5
WDDI54A9A7XTA4DP0,ZYOI80ZB,6PNEO9PT
SJKFRQLZG6L5BZXXM,BGEG44F2,SJ1N3IVW
WDDKLU1HB0BGH8NCB,A5B55RSZ,H0MSST1L
WDDCCE1WJ910H32M7,4G1BDCDT,YAGJDO7R
SJKI7NLATUL1DDNBZ,5WPGEUGZ,KUZGNNJQ
SJK3TMVX02D69RI3A,X7DE7PD1,N1TB6YST
WDDBNIAVQ3T8YUU8W,SJC0HUFN,Y54KRSVO
SJKV0TSKZM6K1Z8GH,YKDWG2ME,BNOTHIE5
SJK8XJ70GD9EHLBVM,V4IK0693,QIEQ14FS
WDDS992ANIOQL54AH,RETHK79A,7APSOIRR
WDDZ4F4P9KSL9K1K0,CBKHHLY8,TJOXMFA0
WDD8NY78MF2UZ9V6U,C2LCP3F3,09JSAT0G
SJK1TMV6RIJ27VXRM,EB8MFO0F,X6GC7X0C
WDDG0FJDBTBJKHYLU,CP8P2G8X,WYPAY9R8
WDDGPEZQOQ6815MJZ,4VMR32WL,H82T7UK6
SJKWBJ6KDWCIBXY28,7I4VL4MH,FHECYB1U
WDDB2M03ZTMRKTFQJ,4UPP0CVG,PCSTHUZA
SJKA5OU8OBVEF2VV9,0IS49RU9,2IFYIL8F
WDDQE0Y097ROMTRWL,KS89YUXW,U7TQYGJ5
SJKIPXSGSLEJAH4RL,NQ7RDYTQ,VKXQDDIN
SJK2ZVILBYXD65AHQ,ER7I9EB7,TX3U2X79
SJKYFHUR4D9PYT59C,8SO5J4ET,RPAXNLRU
SJKLOTZJ1DIQNDMOF,0PGCS5X8,3OX02A1X
WDDQ6FF3Z1NOWGPOM,1MISX4P4,QHTI6SNS
SJKJ8CHGR35B38WL2,SWUG1VV9,M24KTHSS
WDDD875IN7NLGXJOB,0N2N5EV7,WA0LXSRX
SJK9J9PBZVHOG1HE7,MVOS5FE3,AB8AAOBN
SJKN6OLC4L57YJ2BY,FBY39VGD,R0WTLC6L
WDDLULKS018BSDIHG,A2XH4G27,KCN5SAYW
SJKO9DRJ7LFZK7RGY,H58KBWD3,NC7FZSGU
WDDZJ6QLV14ZDO0G0,1E1AWGO9,I3BYO5GR
SJKY88Z9QZHSKKCVV,90RNWBQN,ZSA8K8P8
SJKWNA5ASJ6WI00X7,T9XKE3IR,UVMD5J71
SJKG3SBZNLSQ2N17X,SOEYV7LA,Q2XB03PS
WDD5QDT4VG37DAHEY,F7Y7CA6M,B0ASBFXX
SJKKCDAFVKZ8B8ZFY,JZ4ZE048,GNCEXQDQ
WDDI1I7G51C4J5NPY,Y2JN6I7I,3BT3FTPN
SJK7N8FPYUD3F6T7B,7PUBT2JX,RVBVD5R4
WDD8X7YPG4IBBXM7X,QZ4NJN34,7ANG9LNE
SJKMJUI14Y32NPJWC,IH9JHP7U,DFIGTDC1
SJKGXRF0UNAW7IIEV,ABSBVL0K,MFLJU3PA
WDD7LBJQWOYENMIHW,ZHXFWWVG,VIJ2XC35
SJK66AB7IODE878MU,7786G9GQ,GDZWR6ZA
WDDWXKHI6ZK0EW2JW,INNOO0XN,2WL5XRKH
WDDAHIW9TKXS7SHPX,BJL26W9N,VAV7G0G8
WDDGB4GDNFXUVZ2V4,8VJXT4KZ,VUB5B94T
SJK8TKFGZSQF3DM9D,5KSEBY8E,6ZV8GNLS
SJK2QWU80D4GR87GB,31MC24T4,ICUJ2ONW
SJKXYJH21CN5Y4NOG,26XBBXHC,9OWJZPVH
WDDKQ4I0VA0ZAAFQ9,O2KY6DR7,PUO8SHXQ
SJK810WET1N4ZQP8Q,DUSI9CO2,QIUJKBOZ
WDDU4M2WL16DCLVD3,WENJJ2NO,T11BIFM9
WDD5FVCTN59ULXSEL,QS1HZWVM,B8DYZW9Z
WDDYD2VVUCHDGQHB6,MR09R6QA,UVC24QMK
SJKNRFNR1TGDLKPQP,U2C0X23R,SCPVERYQ
SJKX8KEUBZ68IEELS,6D92MU1X,19VRP7HZ
WDD3XTI0DXM9B19TK,DR1KMXLI,H3858EGW
SJKY1203PQQGPBDPI,VGIPHPS2,GZ57F644
SJKBBA9EJ3O6Q80CP,HTDH13G8,I9OPCEYA
SJKK3Y1N9DFYROVJG,MZ495E63,UI921MXT
SJK7TACS8QS2VRT78,KZ4SCR7R,JACZ18IF
WDD04JU9AL5MSK7RC,GFYGGE3N,1MAXWN2T
SJK9D2A3Q9FUG3TDK,9I3NI82M,LJVG1BD4
WDDAQPS75JI862QGI,S650X6EM,QCY54ZHL
WDD2RPPAJ2DUTDT8W,F76370JK,C8XJWZDN
WDDL0F5ORQRJAKR5S,PWJ5662Z,3KYKH0O5
SJKSA0NP944VT09J9,X7ITZER0,6SFS8O06
SJKEJ5Z78YA2MAITC,WD4DRYLX,O774G7PI
SJKBPOV13V6JD81GN,TKILBSNS,PHB4NSNK
WDD94NF56F0GZHL9U,E2FS482L,79GXLRY9
SJKTSQG3UYR4715JF,9QI0S6PB,SZ77SXAY
WDD730HK11EZG2Z0Y,A4YNYL0K,J7M8K822
WDD2KAY2E256ASFWF,6YBSHRUQ,CVG0MFYY
SJK9TRPWM8V6LWG7X,7ORBJXSR,KQVMVVK1
SJKF2OPCOXQGAH5X7,4O1WT131,JGDJEBOV
SJK4SW6WR13ZYOMPK,ZJ14A16V,ZNNCQ3M0
SJK35HJ8FEXM4JNW9,9SXEKCK6,1B8BZZFC
SJK27HV25MWZEPSCY,0NCEDMSV,YD8MBACJ
SJKBVFLV2UCXI6UUG,8XDBCEYL,UDJJZ8BY
WDD0GNAQYUHM7XCXY,PTE2YOT2,36W7LHB2
SJKEPXWWYBBS029WE,R33M6MM5,B41I4PPW
WDDK91PNBT5GDCZ20,T7LQXKSX,I4KIM90W
WDD8JJ2U5ISNZUODC,WF7IXOLV,JGQ8RCEN
